#lt    20.0
#count pbc
#dt    1.0
#dn    20
#edges  -26.59875 -26.066775 -25.5348 -25.002825 -24.47085 -23.938875 -23.4069 -22.874925 -22.34295 -21.810975 -21.279 -20.747025 -20.21505 -19.683075 -19.1511 -18.619125 -18.08715 -17.555175 -17.0232 -16.491225 -15.95925 -15.427275 -14.8953 -14.363325 -13.83135 -13.299375 -12.7674 -12.235425 -11.70345 -11.171475 -10.6395 -10.107525 -9.57555 -9.043575 -8.5116 -7.979625 -7.44765 -6.915675 -6.3837 -5.851725 -5.31975 -4.787775 -4.2558 -3.723825 -3.19185 -2.659875 -2.1279 -1.595925 -1.06395 -0.531975 -3.90798504668e-14 0.531975 1.06395 1.595925 2.1279 2.659875 3.19185 3.723825 4.2558 4.787775 5.31975 5.851725 6.3837 6.915675 7.44765 7.979625 8.5116 9.043575 9.57555 10.107525 10.6395 11.171475 11.70345 12.235425 12.7674 13.299375 13.83135 14.363325 14.8953 15.427275 15.95925 16.491225 17.0232 17.555175 18.08715 18.619125 19.1511 19.683075 20.21505 20.747025 21.279 21.810975 22.34295 22.874925 23.4069 23.938875 24.47085 25.002825 25.5348 26.066775 26.59875
609 572 585 533 583 525 472 412 408 379 297 252 228 197 184 123 110 88 79 59 63 54 46 38 30 27 16 23 17 9 4 3 2 3 3 1 2 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 2 4 4 5 1 9 11 16 10 14 15 17 26 32 33 44 50 71 99 118 147 212 212 262 295 326 371 417 482 522 568 549 607
599 561 606 639 585 563 526 494 432 415 383 279 255 199 184 138 151 103 113 76 70 58 48 33 33 32 18 29 13 9 14 5 7 5 2 2 5 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 1 4 2 2 1 8 14 9 13 18 9 20 29 38 31 44 65 98 93 127 158 181 195 225 269 340 373 418 447 517 574 580
609 584 626 635 626 600 582 539 491 461 394 310 302 289 227 197 162 139 118 94 92 64 53 56 43 32 24 25 21 15 14 10 5 6 1 2 3 1 2 2 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 3 2 5 8 8 8 7 5 15 14 17 14 31 27 50 49 71 89 109 137 167 221 232 255 268 354 399 424 473 528 557
587 615 620 632 655 632 622 579 563 474 490 406 356 300 259 237 166 191 125 116 105 94 66 61 39 47 43 39 29 21 10 7 7 8 4 5 4 4 1 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 1 4 4 7 4 6 12 10 13 21 19 30 33 46 73 62 94 116 140 173 187 222 241 265 346 423 443 514 557
565 557 634 639 664 665 689 642 628 592 551 470 412 360 327 287 210 196 167 148 132 112 78 77 67 61 56 40 25 21 14 11 15 7 6 7 4 9 0 2 3 2 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 2 3 0 2 3 5 5 11 12 11 10 20 20 28 36 51 67 67 86 116 138 149 195 210 260 279 337 410 479 469
508 548 573 655 693 734 710 670 691 584 570 514 470 422 333 288 285 210 163 184 156 131 115 99 90 71 57 55 54 39 25 12 15 8 6 4 7 7 2 7 4 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 1 2 2 2 4 8 8 4 15 7 13 16 33 46 57 59 74 111 135 145 165 180 217 261 327 382 443 441
508 550 621 619 637 714 722 676 675 607 598 539 563 476 460 389 282 301 260 213 188 172 132 135 106 83 87 76 47 34 24 16 16 9 17 11 7 5 7 2 4 2 3 2 2 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 1 3 3 3 5 6 10 8 16 25 24 32 47 62 78 93 102 118 141 182 192 228 260 298 340 429
462 466 529 623 643 697 713 696 694 675 645 619 582 549 436 418 375 317 283 243 208 204 172 156 145 119 102 70 56 45 48 28 25 18 16 10 7 8 8 4 3 1 2 2 2 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 2 2 3 7 9 10 21 22 29 42 51 63 83 115 104 101 177 210 239 266 281 396
425 436 542 559 640 660 704 698 711 716 641 667 665 632 578 471 452 387 345 283 267 274 187 204 178 160 108 83 74 62 34 37 34 14 20 5 10 5 9 1 1 3 4 4 1 1 2 3 1 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 1 7 8 5 11 10 12 18 29 41 46 53 62 90 98 126 138 180 208 251 287 352
354 378 437 503 529 589 656 669 732 700 745 702 708 705 565 548 479 434 365 355 312 274 242 216 220 183 172 101 96 104 70 46 42 28 23 15 12 9 11 4 4 3 1 1 0 1 2 3 1 1 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 7 2 3 7 7 5 17 23 31 33 55 64 61 88 89 116 135 175 221 247 291
