#lt    20.0
#count pbc
#dt    1.0
#dn    20
#edges  -26.59875 -26.066775 -25.5348 -25.002825 -24.47085 -23.938875 -23.4069 -22.874925 -22.34295 -21.810975 -21.279 -20.747025 -20.21505 -19.683075 -19.1511 -18.619125 -18.08715 -17.555175 -17.0232 -16.491225 -15.95925 -15.427275 -14.8953 -14.363325 -13.83135 -13.299375 -12.7674 -12.235425 -11.70345 -11.171475 -10.6395 -10.107525 -9.57555 -9.043575 -8.5116 -7.979625 -7.44765 -6.915675 -6.3837 -5.851725 -5.31975 -4.787775 -4.2558 -3.723825 -3.19185 -2.659875 -2.1279 -1.595925 -1.06395 -0.531975 -3.90798504668e-14 0.531975 1.06395 1.595925 2.1279 2.659875 3.19185 3.723825 4.2558 4.787775 5.31975 5.851725 6.3837 6.915675 7.44765 7.979625 8.5116 9.043575 9.57555 10.107525 10.6395 11.171475 11.70345 12.235425 12.7674 13.299375 13.83135 14.363325 14.8953 15.427275 15.95925 16.491225 17.0232 17.555175 18.08715 18.619125 19.1511 19.683075 20.21505 20.747025 21.279 21.810975 22.34295 22.874925 23.4069 23.938875 24.47085 25.002825 25.5348 26.066775 26.59875
177 165 174 158 171 168 130 116 108 100 87 68 75 58 60 36 34 23 22 13 26 16 15 11 8 10 6 10 7 5 3 1 1 1 1 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 4 4 5 2 4 5 4 7 12 12 18 24 27 31 39 48 70 72 85 91 103 114 111 145 132 165 169 167
178 162 176 186 185 153 156 134 140 128 108 71 79 58 48 43 39 37 42 20 18 23 14 11 14 9 7 9 9 5 4 2 1 2 1 1 5 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 4 3 1 4 2 1 8 10 11 11 14 32 31 33 49 56 51 61 69 77 94 96 102 147 153 158 169
189 160 173 169 183 166 164 169 136 101 114 109 84 91 62 62 53 42 40 35 25 26 18 18 10 14 7 14 9 9 5 2 2 2 1 2 1 0 1 2 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 2 0 2 1 3 4 4 5 12 14 20 21 18 30 48 41 55 88 81 88 87 96 126 112 140 154 159
171 163 168 201 187 194 190 167 159 124 159 144 116 99 70 71 42 60 35 30 29 29 26 24 13 18 17 16 16 8 4 2 2 4 1 4 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 3 2 2 1 2 3 4 7 6 18 16 19 28 23 31 45 49 59 71 72 76 82 119 109 131 142 168
149 161 201 190 206 174 221 202 171 183 162 147 132 132 121 98 58 58 42 43 37 44 29 23 26 18 24 16 14 12 4 6 10 5 5 4 4 8 0 2 2 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 2 3 4 6 8 7 10 14 16 17 22 24 42 39 50 59 79 97 91 129 128 135 123
124 136 161 164 193 222 222 202 212 169 179 157 162 152 112 102 100 75 50 54 45 51 44 36 27 26 15 19 21 19 15 4 7 6 3 2 2 4 2 4 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 2 2 1 5 3 5 6 14 19 27 17 31 38 41 39 55 66 75 75 100 116 130 112
157 165 183 175 214 239 237 181 206 221 180 175 182 146 152 130 89 98 61 59 58 55 41 56 47 41 36 25 18 11 7 8 14 3 12 5 4 4 5 2 3 1 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 3 1 1 5 9 8 11 15 19 24 27 34 44 42 63 49 64 70 98 123 120
142 135 143 163 203 204 236 204 210 199 197 218 169 165 145 139 121 96 85 75 57 67 50 57 50 44 38 27 18 16 24 10 14 7 8 4 6 4 5 0 2 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 2 2 3 6 7 12 15 17 22 33 26 34 36 56 66 67 80 86 117
115 120 155 172 189 197 226 221 201 212 213 226 207 219 168 157 155 124 113 91 76 86 55 71 70 49 44 36 33 24 17 18 19 7 8 4 6 4 5 0 0 3 3 3 1 1 1 3 1 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 2 4 7 6 13 16 27 22 30 30 35 39 59 60 69 83 103
103 102 130 145 150 164 208 227 243 237 238 209 228 226 174 187 157 137 119 113 87 69 77 81 79 73 74 26 40 34 31 27 24 17 12 8 6 5 6 4 2 1 0 1 0 1 1 3 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 2 1 2 5 9 5 9 15 28 15 33 31 38 40 56 64 66 70
