#lt    20.0
#count pbc
#dt    1.0
#dn    20
#edges  -26.59875 -26.066775 -25.5348 -25.002825 -24.47085 -23.938875 -23.4069 -22.874925 -22.34295 -21.810975 -21.279 -20.747025 -20.21505 -19.683075 -19.1511 -18.619125 -18.08715 -17.555175 -17.0232 -16.491225 -15.95925 -15.427275 -14.8953 -14.363325 -13.83135 -13.299375 -12.7674 -12.235425 -11.70345 -11.171475 -10.6395 -10.107525 -9.57555 -9.043575 -8.5116 -7.979625 -7.44765 -6.915675 -6.3837 -5.851725 -5.31975 -4.787775 -4.2558 -3.723825 -3.19185 -2.659875 -2.1279 -1.595925 -1.06395 -0.531975 -3.90798504668e-14 0.531975 1.06395 1.595925 2.1279 2.659875 3.19185 3.723825 4.2558 4.787775 5.31975 5.851725 6.3837 6.915675 7.44765 7.979625 8.5116 9.043575 9.57555 10.107525 10.6395 11.171475 11.70345 12.235425 12.7674 13.299375 13.83135 14.363325 14.8953 15.427275 15.95925 16.491225 17.0232 17.555175 18.08715 18.619125 19.1511 19.683075 20.21505 20.747025 21.279 21.810975 22.34295 22.874925 23.4069 23.938875 24.47085 25.002825 25.5348 26.066775 26.59875
259 241 255 244 256 213 225 183 191 155 121 95 84 78 75 57 45 40 38 24 28 25 18 15 13 7 8 8 7 2 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 3 4 3 0 3 3 3 5 5 8 7 15 13 13 15 19 28 46 59 69 96 91 102 112 147 165 169 202 235 243 221 274
283 249 265 281 231 251 231 209 197 167 151 118 104 76 86 61 68 37 48 37 37 20 20 14 10 17 7 13 1 1 3 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 2 2 0 0 2 3 4 6 11 6 8 14 19 13 16 21 36 41 53 70 75 84 90 118 169 173 204 191 236 280 247
262 290 286 307 256 246 260 220 199 188 163 106 124 123 85 83 62 58 52 38 39 23 21 29 21 11 10 8 11 4 4 4 1 1 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 2 1 3 1 5 4 3 10 4 11 6 8 9 21 21 36 39 39 71 80 83 98 105 118 173 150 210 210 247 246
264 280 285 274 286 292 259 259 241 212 199 150 150 119 110 85 76 73 51 42 42 33 29 26 20 20 18 15 5 6 2 3 3 2 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 4 1 4 9 4 6 8 5 9 11 18 25 27 42 45 62 68 70 98 97 114 151 203 195 233 253
260 256 268 294 288 286 261 261 255 229 222 180 163 129 121 111 87 87 72 62 59 37 33 32 26 29 14 17 6 6 5 2 1 1 1 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 4 2 6 5 6 3 8 6 9 11 15 25 24 37 48 65 62 83 84 111 115 129 180 204 217
216 258 251 305 308 323 284 286 276 229 234 194 181 154 137 105 117 85 64 82 74 52 48 36 43 32 30 24 18 14 2 5 3 0 2 2 4 2 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 4 4 0 8 2 6 4 12 14 15 17 20 50 54 71 73 59 82 110 138 159 197 190
221 222 286 265 253 272 286 325 270 216 246 200 220 185 192 157 112 111 120 104 90 75 61 45 34 22 33 24 14 15 12 3 0 4 4 2 2 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 3 3 2 7 6 5 10 9 9 17 25 30 33 44 48 52 68 82 92 108 119 127 181
199 231 240 278 261 300 300 295 279 280 272 249 225 211 171 151 156 126 127 105 96 78 71 53 65 44 32 25 18 20 13 12 8 8 4 4 1 0 2 2 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 3 3 4 3 9 10 11 13 19 24 25 47 39 30 61 83 109 98 131 181
189 189 232 218 258 260 271 276 292 315 267 266 266 227 248 180 171 161 140 128 121 111 84 63 59 71 40 22 31 28 10 12 5 3 4 1 2 1 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 2 3 2 3 8 6 6 15 10 14 13 23 29 43 58 50 77 100 113 122 152
145 160 185 187 213 233 249 254 280 296 324 292 290 277 240 209 193 169 144 150 138 121 105 78 84 59 59 52 39 47 17 14 10 3 6 3 4 1 3 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 2 0 0 1 1 2 7 5 10 11 19 25 23 31 30 43 58 74 102 97 155
146 165 169 185 201 264 258 269 273 284 304 280 288 253 259 245 206 218 187 178 134 121 115 93 96 86 70 52 49 38 24 18 15 7 14 11 5 3 2 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 4 1 5 1 7 10 7 7 12 21 30 32 35 47 58 75 106 99
